DATE;OPEN;HIGH;LOW;CLOSE;VOLUME
2010.04.30;1,32260;1,33425;1,32243;1,32945;-1,00000
2010.05.03;1,33345;1,33473;1,31548;1,31945;-1,00000
2010.05.04;1,31918;1,32138;1,29820;1,29870;-1,00000
2010.05.05;1,29790;1,29968;1,28040;1,28143;-1,00000
2010.05.06;1,28090;1,28565;1,25215;1,26180;-1,00000
2010.05.07;1,26563;1,27983;1,25860;1,27513;-1,00000
2010.05.10;1,29088;1,30945;1,27595;1,27870;-1,00000
2010.05.11;1,27833;1,28033;1,26565;1,26620;-1,00000
2010.05.12;1,26608;1,27393;1,26055;1,26135;-1,00000
2010.05.13;1,26185;1,26845;1,25185;1,25348;-1,00000
2010.05.14;1,25298;1,25758;1,23545;1,23590;-1,00000
2010.05.17;1,23558;1,24145;1,22348;1,23953;-1,00000
2010.05.18;1,23948;1,24445;1,21615;1,22023;-1,00000
2010.05.19;1,21888;1,24238;1,21443;1,24155;-1,00000
2010.05.20;1,24290;1,25978;1,22970;1,24863;-1,00000
2010.05.21;1,24658;1,26725;1,24558;1,25708;-1,00000
2010.05.24;1,25445;1,25635;1,23448;1,23720;-1,00000
2010.05.25;1,23518;1,23565;1,21783;1,23450;-1,00000
2010.05.26;1,23623;1,23883;1,21675;1,21785;-1,00000
2010.05.27;1,21690;1,23945;1,21545;1,23615;-1,00000
2010.05.28;1,23675;1,24525;1,22655;1,22730;-1,00000
2010.05.31;1,22705;1,23345;1,22655;1,23058;-1,00000
2010.06.01;1,23058;1,23543;1,21115;1,22285;-1,00000
2010.06.02;1,22335;1,22738;1,21758;1,22490;-1,00000
2010.06.03;1,22510;1,23268;1,21525;1,21618;-1,00000
2010.06.04;1,21595;1,22158;1,19558;1,19665;-1,00000
2010.06.07;1,19325;1,19915;1,18765;1,19235;-1,00000
2010.06.08;1,19153;1,20085;1,19023;1,19733;-1,00000
2010.06.09;1,19738;1,20735;1,19248;1,19783;-1,00000
2010.06.10;1,19843;1,21418;1,19575;1,21243;-1,00000
2010.06.11;1,21100;1,21523;1,20453;1,21120;-1,00000
2010.06.14;1,21310;1,22985;1,21158;1,22200;-1,00000
2010.06.15;1,22195;1,23495;1,21683;1,23320;-1,00000
2010.06.16;1,23253;1,23533;1,22553;1,23108;-1,00000
2010.06.17;1,23110;1,24128;1,22423;1,23880;-1,00000
2010.06.18;1,23810;1,24168;1,23533;1,23878;-1,00000
2010.06.21;1,24570;1,24683;1,23038;1,23120;-1,00000
2010.06.22;1,23173;1,23540;1,22518;1,22708;-1,00000
2010.06.23;1,22678;1,23438;1,22095;1,23100;-1,00000
2010.06.24;1,23135;1,23883;1,22618;1,23335;-1,00000
2010.06.25;1,23290;1,23953;1,22543;1,23683;-1,00000
2010.06.28;1,23723;1,23978;1,22658;1,22770;-1,00000
2010.06.29;1,22773;1,22905;1,21518;1,21878;-1,00000
2010.06.30;1,21830;1,23043;1,21670;1,22373;-1,00000
2010.07.01;1,22365;1,25400;1,21935;1,25273;-1,00000
2010.07.02;1,25178;1,26113;1,24820;1,25685;-1,00000
2010.07.05;1,25575;1,25633;1,25093;1,25385;-1,00000
2010.07.06;1,25388;1,26623;1,24805;1,26265;-1,00000
2010.07.07;1,26260;1,26648;1,25538;1,26380;-1,00000
2010.07.08;1,26345;1,27115;1,26208;1,26975;-1,00000
2010.07.09;1,26935;1,27228;1,26093;1,26398;-1,00000
2010.07.12;1,26335;1,26475;1,25513;1,25958;-1,00000
2010.07.13;1,25900;1,27388;1,25228;1,27243;-1,00000
2010.07.14;1,27288;1,27778;1,26828;1,27438;-1,00000
2010.07.15;1,27410;1,29548;1,27090;1,29500;-1,00000
2010.07.16;1,29385;1,30070;1,28900;1,29295;-1,00000
2010.07.19;1,29048;1,29918;1,28708;1,29418;-1,00000
2010.07.20;1,29415;1,30285;1,28395;1,28800;-1,00000
2010.07.21;1,28858;1,29128;1,27325;1,27540;-1,00000
2010.07.22;1,27573;1,29333;1,27378;1,28925;-1,00000
2010.07.23;1,28933;1,29655;1,27943;1,29098;-1,00000
2010.07.26;1,28963;1,30055;1,28770;1,29943;-1,00000
2010.07.27;1,29930;1,30463;1,29525;1,29958;-1,00000
2010.07.28;1,29943;1,30420;1,29668;1,29948;-1,00000
2010.07.29;1,29920;1,31068;1,29783;1,30790;-1,00000
2010.07.30;1,30793;1,30933;1,29808;1,30508;-1,00000
2010.08.02;1,30655;1,31953;1,30545;1,31800;-1,00000
2010.08.03;1,31813;1,32618;1,31473;1,32303;-1,00000
2010.08.04;1,32278;1,32398;1,31313;1,31613;-1,00000
2010.08.05;1,31603;1,32348;1,31193;1,31885;-1,00000
2010.08.06;1,31870;1,33338;1,31578;1,32803;-1,00000
2010.08.09;1,32953;1,33078;1,32168;1,32215;-1,00000
2010.08.10;1,32300;1,32335;1,30745;1,31760;-1,00000
2010.08.11;1,31778;1,31865;1,28618;1,28628;-1,00000
2010.08.12;1,28323;1,29325;1,27808;1,28293;-1,00000
2010.08.13;1,28258;1,29063;1,27505;1,27535;-1,00000
2010.08.16;1,27668;1,28718;1,27343;1,28260;-1,00000
2010.08.17;1,28260;1,29163;1,28043;1,28843;-1,00000
2010.08.18;1,28810;1,29225;1,28238;1,28530;-1,00000
